[ 2026-03-04 01:28:24,622 ] 15 root - INFO - Initiate the data ingestion
[ 2026-03-04 01:28:27,102 ] 64 root - INFO - Performed Train Test Split on the Dataframe
[ 2026-03-04 01:28:27,192 ] 84 root - INFO - Train and Test files saved successfully
[ 2026-03-04 01:28:27,192 ] 17 root - INFO - Data Initiated Completed
[ 2026-03-04 01:28:27,263 ] 21 root - INFO - Initiate the Data validation
[ 2026-03-04 01:28:27,598 ] 23 root - INFO - Data Validation Completed
[ 2026-03-04 01:28:27,599 ] 26 root - INFO - Data Transformation Started
[ 2026-03-04 01:28:27,599 ] 46 root - INFO - Enter initiate_data_transformation method of DataTransformation class
[ 2026-03-04 01:28:27,599 ] 48 root - INFO - Data Transformation Started
[ 2026-03-04 01:28:27,667 ] 36 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2026-03-04 01:28:27,667 ] 39 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
