[ 2026-03-09 23:41:39,353 ] 16 root - INFO - Initiate the data ingestion
[ 2026-03-09 23:41:42,686 ] 64 root - INFO - Performed Train Test Split on the Dataframe
[ 2026-03-09 23:41:42,754 ] 84 root - INFO - Train and Test files saved successfully
[ 2026-03-09 23:41:42,755 ] 18 root - INFO - Data Initiated Completed
[ 2026-03-09 23:41:42,796 ] 22 root - INFO - Initiate the Data validation
[ 2026-03-09 23:41:43,273 ] 24 root - INFO - Data Validation Completed
[ 2026-03-09 23:41:43,274 ] 27 root - INFO - Data Transformation Started
[ 2026-03-09 23:41:43,274 ] 46 root - INFO - Enter initiate_data_transformation method of DataTransformation class
[ 2026-03-09 23:41:43,274 ] 48 root - INFO - Data Transformation Started
[ 2026-03-09 23:41:43,354 ] 36 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2026-03-09 23:41:43,355 ] 39 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-09 23:41:43,385 ] 44 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-09 23:41:43,390 ] 48 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-09 23:41:43,391 ] 31 root - INFO - Data Transformation Completed
[ 2026-03-09 23:41:43,391 ] 34 root - INFO - Model Training Started
[ 2026-03-09 23:46:02,319 ] 44 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-09 23:46:02,320 ] 48 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-09 23:46:02,320 ] 44 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-09 23:46:02,377 ] 48 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-09 23:46:02,377 ] 120 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\03_09_2026_23_40_52\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9915521628498728, precision_score=0.9894373349583587, recall_score=0.9936760505915953), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9715639810426541, precision_score=0.9631949882537196, recall_score=0.9800796812749004))
[ 2026-03-09 23:46:02,379 ] 39 root - INFO - Model Training artifact created
