[ 2026-03-04 01:37:29,505 ] 15 root - INFO - Initiate the data ingestion
[ 2026-03-04 01:37:31,522 ] 64 root - INFO - Performed Train Test Split on the Dataframe
[ 2026-03-04 01:37:31,599 ] 84 root - INFO - Train and Test files saved successfully
[ 2026-03-04 01:37:31,599 ] 17 root - INFO - Data Initiated Completed
[ 2026-03-04 01:37:31,657 ] 21 root - INFO - Initiate the Data validation
[ 2026-03-04 01:37:31,985 ] 23 root - INFO - Data Validation Completed
[ 2026-03-04 01:37:31,985 ] 26 root - INFO - Data Transformation Started
[ 2026-03-04 01:37:31,985 ] 46 root - INFO - Enter initiate_data_transformation method of DataTransformation class
[ 2026-03-04 01:37:31,986 ] 48 root - INFO - Data Transformation Started
[ 2026-03-04 01:37:32,063 ] 36 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2026-03-04 01:37:32,063 ] 39 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-04 01:37:32,082 ] 41 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-04 01:37:32,093 ] 45 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-04 01:37:32,097 ] 30 root - INFO - Data Transformation Completed
