[ 2026-03-04 01:31:48,398 ] 15 root - INFO - Initiate the data ingestion
[ 2026-03-04 01:31:50,560 ] 64 root - INFO - Performed Train Test Split on the Dataframe
[ 2026-03-04 01:31:50,677 ] 84 root - INFO - Train and Test files saved successfully
[ 2026-03-04 01:31:50,678 ] 17 root - INFO - Data Initiated Completed
[ 2026-03-04 01:31:50,742 ] 21 root - INFO - Initiate the Data validation
[ 2026-03-04 01:31:51,119 ] 23 root - INFO - Data Validation Completed
[ 2026-03-04 01:31:51,120 ] 26 root - INFO - Data Transformation Started
[ 2026-03-04 01:31:51,120 ] 46 root - INFO - Enter initiate_data_transformation method of DataTransformation class
[ 2026-03-04 01:31:51,120 ] 48 root - INFO - Data Transformation Started
[ 2026-03-04 01:31:51,203 ] 36 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2026-03-04 01:31:51,203 ] 39 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
